Date,Season,HomeTeam,AwayTeam,Over2.5,ModelProbabilityOver2.5,ImpliedProbability,ProbabilityDifference,ExpectedValue,B365>2.5
2021-01-17,2020_21,Liverpool,Man United,0,0.9080176135888374,0.6024096385542169,0.30560797503462045,0.50730923855747,1.66
2021-01-19,2020_21,Leicester,Chelsea,0,0.6508892210287844,0.5263157894736842,0.12457343155510026,0.23668951995469034,1.9
2021-01-19,2020_21,West Ham,West Brom,1,0.7957762828339234,0.5263157894736842,0.26946049336023925,0.5119749373844544,1.9
2021-01-20,2020_21,Man City,Aston Villa,0,0.8719388845998731,0.6944444444444444,0.1774944401554287,0.25559199382381714,1.44
2021-01-26,2020_21,Southampton,Arsenal,1,0.7017058417526907,0.5555555555555556,0.1461502861971351,0.26307051515484337,1.8
2021-01-26,2020_21,Crystal Palace,West Ham,1,0.8117782171632523,0.45454545454545453,0.35723276261779774,0.7859120777591551,2.2
2021-01-27,2020_21,Burnley,Aston Villa,1,0.8262824289082936,0.5263157894736842,0.29996663943460944,0.5699366149257579,1.9
2021-01-27,2020_21,Man United,Sheffield United,1,0.9511387915140899,0.6024096385542169,0.34872915295987295,0.5788903939133891,1.66
2021-01-27,2020_21,Chelsea,Wolves,0,0.7233841308539324,0.5263157894736842,0.1970683413802482,0.37442984862247153,1.9
2021-01-28,2020_21,Tottenham,Liverpool,1,0.9156180372458764,0.5555555555555556,0.36006248169032085,0.6481124670425775,1.8
2021-01-30,2020_21,Crystal Palace,Wolves,0,0.45386266390441526,0.4,0.05386266390441524,0.13465665976103813,2.5
2021-01-30,2020_21,Everton,Newcastle,0,0.55525359319109,0.5,0.05525359319109002,0.11050718638218004,2.0
2021-01-30,2020_21,Arsenal,Man United,0,0.7324687999528751,0.5555555555555556,0.17691324439731948,0.3184438399151752,1.8
2021-01-31,2020_21,West Ham,Liverpool,1,0.7414362201978453,0.6024096385542169,0.13902658164362836,0.2307841255284231,1.66
2021-01-31,2020_21,Chelsea,Burnley,0,0.8009374286828645,0.5813953488372093,0.2195420798456552,0.377612377334527,1.72
2021-02-02,2020_21,Man United,Southampton,1,0.8067584724361343,0.6535947712418301,0.15316370119430422,0.2343404628272856,1.53
2021-02-02,2020_21,Wolves,Arsenal,1,0.4923176347790804,0.4347826086956522,0.0575350260834282,0.13233055999188492,2.3
2021-02-03,2020_21,Aston Villa,West Ham,1,0.7168147878388224,0.5813953488372093,0.13541943900161302,0.2329214350827744,1.72
2021-02-03,2020_21,Burnley,Man City,0,0.7746606894890266,0.6024096385542169,0.17225105093480964,0.285936744551784,1.66
2021-02-03,2020_21,Liverpool,Brighton,0,0.7559232904432011,0.6024096385542169,0.15351365188898414,0.25483266213571376,1.66
2021-02-03,2020_21,Fulham,Leicester,0,0.6588087225711813,0.5,0.15880872257118128,0.31761744514236256,2.0
2021-02-06,2020_21,Man United,Everton,1,0.841261513049794,0.6024096385542169,0.2388518744955771,0.3964941116626579,1.66
2021-02-06,2020_21,Burnley,Brighton,0,0.5029995797972736,0.4,0.10299957979727359,0.2574989494931841,2.5
2021-02-06,2020_21,Newcastle,Southampton,1,0.5799261793507993,0.5,0.07992617935079926,0.15985235870159853,2.0
2021-02-07,2020_21,Sheffield United,Chelsea,1,0.7403551579285329,0.5263157894736842,0.21403936845484872,0.4066748000642124,1.9
2021-02-07,2020_21,Liverpool,Man City,1,0.670419128387344,0.5813953488372093,0.08902377955013463,0.15312090082623153,1.72
2021-02-13,2020_21,Man City,Tottenham,1,0.9099813732664704,0.6211180124223602,0.28886336084411024,0.46507001095901757,1.61
2021-02-13,2020_21,Crystal Palace,Burnley,1,0.6100351276038795,0.4,0.21003512760387943,0.5250878190096986,2.5
2021-02-14,2020_21,Arsenal,Leeds,1,0.7990757358559754,0.6369426751592356,0.16213306069673972,0.2545489052938814,1.57
2021-02-15,2020_21,West Ham,Sheffield United,1,0.5849746544546243,0.5,0.08497465445462427,0.16994930890924853,2.0
2021-02-17,2020_21,Burnley,Fulham,0,0.5592351592853784,0.4347826086956522,0.12445255058972615,0.28624086635637025,2.3
2021-02-19,2020_21,Wolves,Leeds,0,0.5946617295456257,0.5263157894736842,0.0683459400719415,0.12985728613668868,1.9
2021-02-20,2020_21,Southampton,Chelsea,0,0.7264987999249081,0.5263157894736842,0.2001830104512239,0.3803477198573253,1.9
2021-02-20,2020_21,Fulham,Sheffield United,0,0.5610114367706152,0.4347826086956522,0.12622882807496294,0.2903263045724147,2.3
2021-02-21,2020_21,Aston Villa,Leicester,1,0.7327705086012574,0.5813953488372093,0.15137515976404803,0.2603652747941627,1.72
2021-02-21,2020_21,Arsenal,Man City,0,0.7591666238728674,0.5813953488372093,0.17777127503565804,0.3057665930613318,1.72
2021-02-21,2020_21,Man United,Newcastle,1,0.7934896812961589,0.6369426751592356,0.1565470061369233,0.24577879963496962,1.57
2021-02-21,2020_21,West Ham,Tottenham,1,0.7358678107166079,0.5263157894736842,0.20955202124292371,0.39814884036155496,1.9
2021-02-27,2020_21,Man City,West Ham,1,0.9140701315717406,0.6535947712418301,0.2604753603299105,0.398527301304763,1.53
2021-02-28,2020_21,Tottenham,Burnley,1,0.6629923454349745,0.5235602094240838,0.13943213601089077,0.26631537978080133,1.91
2021-02-28,2020_21,Chelsea,Man United,0,0.6522865228831761,0.5025125628140703,0.14977396006910582,0.2980501805375204,1.99
2021-02-28,2020_21,Leicester,Arsenal,1,0.7136547035628825,0.49504950495049505,0.21860519861238747,0.4415825011970227,2.02
2021-03-02,2020_21,Man City,Wolves,1,0.9517344269090939,0.5813953488372093,0.3703390780718846,0.6369832142836416,1.72
2021-03-03,2020_21,Burnley,Leicester,0,0.7629395957598327,0.47619047619047616,0.28674911956935656,0.6021731510956487,2.1
2021-03-04,2020_21,West Brom,Everton,0,0.7824944651647731,0.5263157894736842,0.2561786756910889,0.48673948381306875,1.9
2021-03-06,2020_21,Brighton,Leicester,1,0.7994028986562637,0.45454545454545453,0.34485744411080915,0.7586863770437802,2.2
2021-03-06,2020_21,Aston Villa,Wolves,0,0.561695305454713,0.47619047619047616,0.08550482926423686,0.1795601414548973,2.1
2021-03-07,2020_21,Tottenham,Crystal Palace,1,0.7135667539449991,0.5263157894736842,0.18725096447131495,0.3557768324954982,1.9
2021-03-07,2020_21,Man City,Man United,0,0.9337279586926596,0.5813953488372093,0.35233260985545023,0.6060120889513745,1.72
2021-03-08,2020_21,Chelsea,Everton,0,0.5735650104491578,0.5050505050505051,0.06851450539865267,0.13565872068933227,1.98
2021-03-08,2020_21,West Ham,Leeds,0,0.8707174457498148,0.6024096385542169,0.2683078071955979,0.4453909599446926,1.66
2021-03-10,2020_21,Man City,Southampton,1,0.8162344510135184,0.6535947712418301,0.16263967977168836,0.24883871005068325,1.53
2021-03-12,2020_21,Newcastle,Aston Villa,0,0.5835537875140445,0.4347826086956522,0.1487711788183923,0.34217371128230223,2.3
2021-03-13,2020_21,Fulham,Man City,1,0.7083129338882118,0.5555555555555556,0.15275737833265624,0.2749632809987812,1.8
2021-03-13,2020_21,Crystal Palace,West Brom,0,0.7098325053433442,0.42194092827004215,0.28789157707330204,0.6823030376637258,2.37
2021-03-14,2020_21,Southampton,Brighton,1,0.6673554272285908,0.4347826086956522,0.23257281853293854,0.5349174826257586,2.3
2021-03-14,2020_21,Man United,West Ham,0,0.5922685787716181,0.5263157894736842,0.06595278929793391,0.12531029966607443,1.9
2021-03-14,2020_21,Arsenal,Tottenham,1,0.7484393467698717,0.5263157894736842,0.2221235572961875,0.4220347588627562,1.9
2021-03-14,2020_21,Leicester,Sheffield United,1,0.8850784937045294,0.5263157894736842,0.3587627042308452,0.6816491380386058,1.9
2021-03-15,2020_21,Wolves,Liverpool,0,0.5851451760755686,0.5263157894736842,0.058829386601884415,0.1117758345435802,1.9
2021-03-19,2020_21,Fulham,Leeds,1,0.8495190087680332,0.5,0.3495190087680332,0.6990380175360664,2.0
2021-03-20,2020_21,Brighton,Newcastle,1,0.5510325023793562,0.4347826086956522,0.11624989368370398,0.2673747554725192,2.3
2021-03-21,2020_21,West Ham,Arsenal,1,0.9075782563450397,0.5263157894736842,0.38126246687135557,0.7243986870555754,1.9
2021-03-21,2020_21,Aston Villa,Tottenham,0,0.6709297666014757,0.5263157894736842,0.14461397712779156,0.2747665565428039,1.9
2021-04-03,2020_21,Arsenal,Liverpool,1,0.8573052682318941,0.5813953488372093,0.2759099193946848,0.4745650613588579,1.72
2021-04-03,2020_21,Chelsea,West Brom,1,0.9938518036606365,0.5813953488372093,0.4124564548234272,0.7094251022962947,1.72
2021-04-03,2020_21,Leicester,Man City,0,0.9027854369504368,0.5263157894736842,0.3764696474767526,0.7152923302058298,1.9
2021-04-04,2020_21,Newcastle,Tottenham,1,0.8605134579406841,0.5263157894736842,0.33419766846699994,0.6349755700872997,1.9
2021-04-04,2020_21,Man United,Brighton,1,0.8129798929297187,0.5263157894736842,0.28666410345603455,0.5446617965664655,1.9
2021-04-04,2020_21,Aston Villa,Fulham,1,0.5784756983497368,0.45454545454545453,0.12393024380428225,0.27264653636942104,2.2
2021-04-05,2020_21,Wolves,West Ham,1,0.556406371152071,0.4,0.156406371152071,0.39101592788017747,2.5
2021-04-10,2020_21,Crystal Palace,Chelsea,1,0.6954394899966797,0.47619047619047616,0.21924901380620354,0.4604229289930275,2.1
2021-04-10,2020_21,Man City,Leeds,1,0.9151330798293263,0.6944444444444444,0.22068863538488193,0.3177916349542298,1.44
2021-04-11,2020_21,Burnley,Newcastle,1,0.6152330076312862,0.4,0.21523300763128617,0.5380825190782155,2.5
2021-04-11,2020_21,Sheffield United,Arsenal,1,0.8569525690386675,0.5,0.35695256903866746,0.7139051380773349,2.0
2021-04-11,2020_21,West Ham,Leicester,1,0.8771411951657679,0.5263157894736842,0.35082540569208376,0.666568270814959,1.9
2021-04-11,2020_21,Tottenham,Man United,1,0.8988721745471626,0.5263157894736842,0.37255638507347844,0.707857131639609,1.9
2021-04-12,2020_21,Brighton,Everton,0,0.7798256936632606,0.45454545454545453,0.32528023911780607,0.7156165260591734,2.2
2021-04-17,2020_21,Newcastle,West Ham,1,0.8703482573212485,0.5263157894736842,0.34403246784756436,0.6536616889103721,1.9
2021-04-18,2020_21,Man United,Burnley,1,0.7422166789935563,0.5813953488372093,0.16082133015634692,0.2766126878689168,1.72
2021-04-18,2020_21,Arsenal,Fulham,0,0.6789445586177449,0.5,0.17894455861774494,0.3578891172354899,2.0
2021-04-19,2020_21,Leeds,Liverpool,0,0.9546827269242024,0.6535947712418301,0.30108795568237234,0.4606645721940297,1.53
2021-04-20,2020_21,Chelsea,Brighton,0,0.772698094998765,0.45454545454545453,0.31815264045331043,0.6999358089972831,2.2
2021-04-21,2020_21,Tottenham,Southampton,1,0.9408873017383351,0.5813953488372093,0.3594919529011258,0.6183261589899365,1.72
2021-04-21,2020_21,Aston Villa,Man City,1,0.7209103169364045,0.6024096385542169,0.11850067838218759,0.19671112611443142,1.66
2021-04-22,2020_21,Leicester,West Brom,1,0.6468479993387487,0.5263157894736842,0.12053220986506452,0.22901119874362252,1.9
2021-04-23,2020_21,Arsenal,Everton,0,0.6124540904667635,0.5,0.11245409046676347,0.22490818093352694,2.0
2021-04-24,2020_21,West Ham,Chelsea,0,0.8495540421785209,0.5,0.34955404217852093,0.6991080843570419,2.0
2021-04-25,2020_21,Aston Villa,West Brom,1,0.6878042251022162,0.5263157894736842,0.161488435628532,0.3068280276942106,1.9
2021-04-25,2020_21,Leeds,Man United,0,0.920174559536507,0.6369426751592356,0.2832318843772713,0.4446740584723159,1.57
2021-04-26,2020_21,Leicester,Crystal Palace,1,0.6862790540020103,0.5,0.18627905400201028,0.37255810800402056,2.0
2021-05-01,2020_21,Crystal Palace,Man City,0,0.6343492999994547,0.5813953488372093,0.05295395116224533,0.09108079599906205,1.72
2021-05-02,2020_21,Tottenham,Sheffield United,1,0.8792084887857596,0.5813953488372093,0.2978131399485503,0.5122386007115065,1.72
2021-05-03,2020_21,West Brom,Wolves,0,0.8166901534006054,0.45454545454545453,0.3621446988551508,0.796718337481332,2.2
2021-05-07,2020_21,Leicester,Newcastle,1,0.7783058825250848,0.5813953488372093,0.19691053368787548,0.33868611794314596,1.72
2021-05-08,2020_21,Man City,Chelsea,1,0.6678996947727724,0.45454545454545453,0.21335424022731792,0.46937932850009956,2.2
2021-05-08,2020_21,Leeds,Tottenham,1,0.8835513923380189,0.6024096385542169,0.281141753783802,0.4666953112811114,1.66
2021-05-09,2020_21,Aston Villa,Man United,1,0.6676788360485078,0.5813953488372093,0.08628348721129842,0.1484075980034334,1.72
2021-05-09,2020_21,Wolves,Brighton,1,0.7641744728433485,0.4347826086956522,0.3293918641476963,0.7576012875397014,2.3
2021-05-09,2020_21,Arsenal,West Brom,1,0.7780987115367691,0.5813953488372093,0.1967033626995598,0.33832978384324286,1.72
2021-05-11,2020_21,Man United,Leicester,1,0.8573952978608159,0.5263157894736842,0.33107950838713174,0.6290510659355502,1.9
2021-05-12,2020_21,Chelsea,Arsenal,0,0.7861974074528634,0.5,0.2861974074528634,0.5723948149057267,2.0
2021-05-13,2020_21,Man United,Liverpool,1,0.8928037647969388,0.5813953488372093,0.31140841595972946,0.5356224754507346,1.72
2021-05-14,2020_21,Newcastle,Man City,1,0.846866392765153,0.6535947712418301,0.1932716215233229,0.2957055809306841,1.53
2021-05-15,2020_21,Brighton,West Ham,0,0.6246382475833929,0.5,0.12463824758339292,0.24927649516678585,2.0
2021-05-16,2020_21,Crystal Palace,Aston Villa,1,0.689624018547312,0.5263157894736842,0.16330822907362785,0.31028563523989283,1.9
2021-05-16,2020_21,Tottenham,Wolves,0,0.6146667299369333,0.5555555555555556,0.059111174381377696,0.10640011388647985,1.8
2021-05-18,2020_21,Chelsea,Leicester,1,0.6319830396162102,0.47619047619047616,0.155792563425734,0.3271643831940414,2.1
2021-05-18,2020_21,Brighton,Man City,1,0.8038549878343988,0.5813953488372093,0.22245963899718946,0.38263057907516584,1.72
