Date,Bankroll,Outcome,Stake,CumulativeProfit
2021-10-24,2713.2416732018837,Win,72.37076294561398,1713.2416732018837
2021-10-24,2691.492126936808,Lose,21.74954626507599,1691.4921269368078
2021-10-30,2728.8376445336157,Win,70.46324074869455,1728.8376445336157
2021-10-30,2645.9327240803946,Lose,82.9049204532213,1645.9327240803946
2021-10-30,2710.0625514268154,Win,89.06920464780654,1710.0625514268154
2021-10-30,2727.77274065593,Win,14.758491024262412,1727.7727406559302
2021-10-31,2788.334179777064,Win,75.70179890141755,1788.334179777064
2021-11-06,2730.933788873597,Lose,57.40039090346698,1730.9337888735972
2021-11-06,2684.4929404281484,Lose,46.440848445448665,1684.4929404281484
2021-11-06,2668.1466024898696,Lose,16.346337938278836,1668.1466024898696
2021-11-06,2710.8423885021207,Win,42.69578601225108,1710.8423885021207
2021-11-06,2613.4375788561265,Lose,97.40480964599419,1613.4375788561265
2021-11-07,2624.900494468289,Win,22.925831224324725,1624.9004944682888
2021-11-07,2579.0982705993183,Lose,45.80222386897055,1579.0982705993183
2021-11-07,2534.100485095512,Lose,44.99778550380653,1534.1004850955119
2021-11-20,2566.2788992074175,Win,64.35682822381074,1566.2788992074175
2021-11-20,2623.9420425086464,Win,57.66314330122884,1623.9420425086464
2021-11-20,2668.203334374776,Win,42.97212802536896,1668.2033343747762
2021-11-20,2636.9089409348753,Lose,31.29439343990111,1636.9089409348753
2021-11-20,2667.362608052759,Win,25.37805593156949,1667.3626080527588
2021-11-21,2741.033369139489,Win,102.32050150934742,1741.033369139489
2021-11-21,2767.9528671652924,Win,53.83899605160695,1767.9528671652924
2021-11-27,2797.250512370408,Win,73.24411301278971,1797.2505123704082
2021-11-27,2892.807942504716,Win,89.30600947131556,1892.8079425047158
2021-11-28,2837.8808581066087,Lose,54.927084398106985,1837.8808581066087
2021-11-28,2923.624839949714,Win,129.91512400470495,1923.624839949714
2021-11-28,2961.4185831716545,Win,75.58748644388072,1961.4185831716545
2021-12-01,2984.546104070788,Win,37.913968687104045,1984.5461040707878
2021-12-01,2945.497419783879,Lose,39.04868428690852,1945.4974197838792
2021-12-01,2968.30161888684,Win,31.672498754112297,1968.30161888684
2021-12-02,2894.874141306405,Lose,73.42747758043512,1894.874141306405
2021-12-04,2809.0313689353047,Lose,85.84277237110035,1809.0313689353047
2021-12-04,2863.9729788899017,Win,54.941609954596885,1863.9729788899017
2021-12-04,2908.943622341919,Win,102.20600784549396,1908.9436223419189
2021-12-04,2882.2373491509475,Lose,26.706273190971405,1882.2373491509475
2021-12-05,2971.046011759034,Win,102.07892253803084,1971.0460117590342
2021-12-05,3054.1213932627684,Win,86.53685573305637,2054.1213932627684
2021-12-10,3072.662014307955,Win,18.357050539788656,2072.662014307955
2021-12-11,2964.2607168391314,Lose,108.40129746882351,1964.2607168391314
2021-12-11,2857.653246531222,Lose,106.60747030790952,1857.653246531222
2021-12-11,2929.7119602336193,Win,90.07339212799661,1929.7119602336193
2021-12-12,2998.2000789663102,Win,52.683168255916144,1998.2000789663102
2021-12-12,3012.5012010013115,Win,25.08968778070371,2012.5012010013115
2021-12-14,3049.238208301376,Win,102.04724250017821,2049.238208301376
2021-12-15,2954.7326033464033,Lose,94.50560495497237,1954.7326033464033
2021-12-15,2984.9199796309476,Win,27.443069349585727,1984.9199796309476
2021-12-15,2859.1882421170767,Lose,125.73173751387115,1859.1882421170767
2021-12-16,2823.1689550478713,Lose,36.019287069205554,1823.1689550478713
2021-12-18,2874.5700951618433,Win,71.39047238051657,1874.5700951618433
2021-12-19,2952.1674429543814,Win,117.57173907960292,1952.1674429543814
2021-12-19,3017.7134535513546,Win,83.02254797424041,2017.7134535513546
2021-12-19,2926.7168009705433,Lose,90.99665258081143,1926.7168009705433
